Player Id,Tackles,wontackles,duels,wonduels,passes,wonpasses,interception,Last_Name,First_Name
33223,1,0,30,0.333333333,63,0.714285714,4,Gyan,Asamoah
33298,15,0.8,117,0.478632479,739,0.686062246,26,Beausejour,Jean
34285,107,0.682242991,321,0.651090343,1890,0.748677249,93,Figueroa,Maynor
34296,26,0.653846154,93,0.52688172,317,0.832807571,12,Palacios,Wilson
34392,37,0.864864865,485,0.391752577,1131,0.784261715,14,Sessegnon,St�phane
35865,7,0.714285714,67,0.417910448,88,0.602272727,3,Modeste,Anthony
36903,43,0.697674419,417,0.467625899,1642,0.755176614,54,Bale,Gareth
37055,56,0.714285714,369,0.474254743,2656,0.85128012,81,Modric,Luka
37084,38,0.763157895,230,0.491304348,788,0.777918782,34,Ruiz,Bryan
37269,11,0.909090909,20,0.7,100,0.8,8,Jara,Gonzalo
37334,2,1,124,0.322580645,411,0.734793187,6,Rodallega,Hugo
37339,18,0.555555556,139,0.417266187,405,0.609876543,11,Elmohamady,Ahmed
37352,8,0.875,69,0.420289855,257,0.809338521,3,Kalou,Salomon
37572,23,0.739130435,314,0.340764331,895,0.834636872,18,Ag�ero,Sergio
37639,40,0.625,115,0.582608696,657,0.788432268,25,Guthrie,Danny
37642,36,0.722222222,189,0.576719577,1420,0.900704225,55,Evans,Jonny
37742,68,0.735294118,311,0.665594855,1558,0.836970475,77,Kaboul,Younes
37748,42,0.833333333,202,0.633663366,1214,0.809719934,35,Sagna,Bacary
37847,30,0.7,121,0.58677686,515,0.730097087,42,Zubar,Ronald
37869,49,0.632653061,205,0.604878049,605,0.692561983,30,Shawcross,Ryan
37939,3,1,16,0.4375,86,0.802325581,0,Marveaux,Sylvain
38251,1,0,1,1,126,0.555555556,0,de Vries,Dorus
38290,12,0.833333333,35,0.571428571,173,0.797687861,9,Rose,Danny
38297,24,0.791666667,76,0.539473684,532,0.828947368,12,Howson,Jonathan
38328,39,0.820512821,454,0.374449339,754,0.651193634,17,Ngog,David
38429,25,0.68,165,0.387878788,601,0.705490849,16,Obertan,Gabriel
38462,5,0.8,14,0.642857143,60,0.766666667,4,Corluka,Vedran
38530,38,0.736842105,301,0.445182724,1267,0.700868193,26,Nani,0
39104,112,0.758928571,478,0.577405858,1702,0.87720329,33,Demb�l�,Moussa
39202,26,0.884615385,196,0.454081633,374,0.721925134,13,Drenthe,Royston
39215,3,0.333333333,17,0.941176471,1591,0.710245129,1,Vorm,Michel
39217,11,0.909090909,65,0.430769231,545,0.796330275,5,Agustien,Kemy
39253,33,0.575757576,250,0.524,1125,0.722666667,30,Jonas Olsson,0
39336,35,0.742857143,447,0.427293065,1117,0.72694718,12,Su�rez,Luis
39439,7,0.857142857,152,0.289473684,274,0.733576642,4,Pogrebnyak,Pavel
39765,24,0.833333333,286,0.402097902,1159,0.747195858,35,Taarabt,Adel
39776,1,1,23,0.391304348,86,0.651162791,2,Martin,Chris
39895,101,0.782178218,376,0.505319149,1667,0.838032394,101,Mulumbu,Youssuf
40142,24,0.791666667,397,0.586901763,747,0.6291834,16,Carroll,Andy
40146,14,0.714285714,46,0.608695652,292,0.869863014,13,Bertrand,Ryan
40204,10,0.7,278,0.309352518,612,0.508169935,9,Morison,Steve
40231,7,0.571428571,17,0.529411765,88,0.863636364,6,J�nsson,Eggert Gunnth�r
40275,3,0.666666667,8,0.75,38,0.842105263,1,dos Santos,Giovani
40349,1,1,8,0.625,725,0.575172414,4,Begovic,Asmir
40387,9,0.888888889,33,0.393939394,99,0.818181818,2,Gosling,Dan
40451,23,0.826086957,145,0.344827586,840,0.752380952,20,Pilkington,Anthony
40555,110,0.745454545,367,0.539509537,2219,0.900405588,74,Allen,Joe
40564,1,1,2,0.5,17,0.882352941,1,Lansbury,Henri
40616,49,0.734693878,237,0.548523207,1801,0.739589117,62,Ward,Stephen
40660,10,0.9,48,0.458333333,146,0.602739726,2,Hammill,Adam
40725,68,0.823529412,213,0.539906103,1154,0.726169844,60,Simpson,Danny
40755,8,0.875,212,0.316037736,763,0.760157274,17,Sturridge,Daniel
41135,57,0.771929825,193,0.67357513,1104,0.839673913,58,Ivanovic,Branislav
41184,99,0.848484848,444,0.497747748,1806,0.790143965,55,Fellaini,Marouane
